Tax,gdppc,doing_business
,,
,35896.57795,
,35574.61783,
,35814.26144,
,36165.61478,
,36072.73142,
,34825.20404,
,35490.18398,
,34437.49417,
,35831.20431,
,40083.20968,
,40172.3172,
,39613.76247,
,39515.8146,
,39553.37407,
,37303.33269,
,37360.47577,
,39495.5578,
,41621.23267,
,39478.49433,
,39767.78939,
,39824.29092,
,38209.19543,
,39113.47165,
,39944.11143,
,39051.99597,
,38669.3749,
,38562.96062,
,37140.02466,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
15.9,,22.8
15.9,67293.48276,13.4
15.9,67705.94933,13
15.9,66569.40341,11.2
14.8,63943.18583,11.3
14.8,61688.3803,11.4
14.9,59419.08949,11
14.1,58363.67822,13.4
14.1,57232.61808,12.6
14.1,60769.86103,11.1
14.4,71314.66882,11.6
14.4,78830.27664,13.9
14.4,88086.35738,13
14.4,91798.25991,15.8
,98076.53316,17.5
,97790.1774,18.8
,95894.91443,
,98716.97042,
,102634.9243,
,97753.82842,
,100018.1038,
,104829.0273,
,101754.2957,
,100976.9451,
,99529.78072,
,98224.51647,
,102615.1703,
,105171.4096,
,110432.465,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
106,,5.3
106,18932.16647,10.4
106,18584.58,10.8
137.6,19116.90791,11.4
137.4,18797.54795,17.7
119.4,19482.1903,23.2
107.5,19224.8744,15.4
107.4,19629.35185,17.7
107.4,18712.06308,20.7
107.3,17168.37894,16.1
107.3,18436.86247,12.8
107.3,17900.70634,13.6
107.3,16592.26489,15.4
107.3,15518.67851,15.9
,14410.15052,17.3
,13361.40004,13.5
,12412.60599,
,14085.57518,
,14899.87005,
,15186.1302,
,15894.55805,
,15479.37913,
,14485.50768,
,13893.52266,
,14481.1082,
,13861.94618,
,12984.06817,
,12196.41792,
,11334.22261,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
42.8,,8.7
41.9,21380.1574,9.1
41.9,20966.46574,9.4
